sub,prop_controversial,all_comments
announcements,0.16559356136820927,4970
syriancivilwar,0.15234868496611922,17414
media_criticism,0.14932486100079428,1259
moderatepolitics,0.1486038807382868,23243
rocketbeans,0.1464035646085296,1571
civclassics,0.1397459165154265,3857
MakingaMurderer,0.13524185587364265,7091
weatherfactory,0.12761194029850748,1340
tories,0.11977777777777777,4500
samharris,0.11430491766550913,44635
