sub,avg_score,comment_count
BaltimoreAndDCr4r,0.46675712347354115,1474
bostonr4r,0.8157276995305165,3408
chicagor4r,0.8585807750377454,1987
SFr4r,0.8827956989247311,1860
GBr4r,0.9205252246026263,1447
nsfwDiscords,0.9404380341880343,3744
NJr4r,0.947258848022207,1441
Floridar4r,0.9605642834241745,3119
DDLGPersonals,0.9748827863362358,2986
RandomActsOfMuffDive,0.9761222540592168,11517
