sub,avg_score,comment_count
SapphoAndHerFriend,46.049850074962514,2668
muacirclejerk,36.91260191675012,6991
rpdrcringe,35.71949610077985,8335
ActLikeYouBelong,33.255102040816325,1078
tifu,31.786562306129895,117669
RPDRDRAMA,31.781400518710644,2699
lossofalovedone,31.265607886089818,1826
bestoflegaladvice,30.989843432607255,31999
BeautyGuruChatter,30.96974866067858,37519
MovieDetails,30.89488290819389,58373
